category	known	lost	subcategory
deity_term	God	guþ	supreme
deity_term	Lord	frauja	supreme
deity_term	Christ	Xristus	messiah
deity_term	Spirit/Ghost	ahma	spirit
deity_term	angel	aggilus	angel
deity_term	devil/demon	unhulþo	demon
deity_term	Satan	Satana	adversary
ritual_verb	sacrifice/offering	hunsl	sacrifice
ritual_verb	pray	bidjan	pray
ritual_verb	hallow/sanctify	weihnai	consecrate
ritual_verb	baptize	daupjan	baptize
ritual_verb	swear/oath	swaran	swear
ritual_verb	fast	fastan	fast
ritual_verb	alms/charity	armaio	give_alms
ritual_noun	gospel/good news	aiwaggeljons	gospel
ritual_noun	prophet	praufetus	prophet
ritual_noun	apostle	apaustaulus	apostle
ritual_noun	synagogue/assembly	gaqumþ	assembly
ritual_noun	temple	alh	temple
ritual_noun	oath	aiþs	oath
ritual_noun	gift/offering	giba	offering
ritual_noun	law/Torah	witoþ	law
ritual_noun	reward/wages	mizdo	reward
eucharist	bread	hlaifs	bread
eucharist	wine	wein	wine
eucharist	cup	stikls	cup
sin_salvation	sin/transgression	frawaurht	sin
sin_salvation	forgive/release	afletan	forgive
sin_salvation	redeem/deliver	lausjan	redeem
sin_salvation	save/rescue	nasjan	save
sin_salvation	believe/have faith	galaubjan	believe
sin_salvation	resurrection	usstass	resurrection
sin_salvation	reconcile/make peace	gafriþon	reconcile
sin_salvation	righteous/just	garaihts	righteous
sin_salvation	mercy/compassion	armahairtiþa	mercy
sacred_noun	soul	saiwala	soul
sacred_noun	body	leik	body
sacred_noun	heaven	himins	heaven
sacred_noun	hell/Hades	halja	hell
sacred_noun	Gehenna/hell-fire	gaiainnan	gehenna
sacred_noun	kingdom (of God)	þiudangardi	kingdom
sacred_noun	glory	wulþus	glory
sacred_noun	power/might	mahts	power
sacred_noun	grace/favor	ansts	grace
sacred_noun	cross/gallows	galga	cross
sacred_noun	word (divine)	waurd	word
sacred_noun	father	atta	father
sacred_noun	son	sunus	son
sacred_noun	brother	broþar	brother
high_risk	sickness/disease	sauhtins	sickness
high_risk	heal	hailjan	heal
high_risk	birth	gabaurþs	birth
high_risk	child	barn	child
high_risk	death	dauþus	death
high_risk	harvest	asans	harvest
high_risk	earth/land	airþa	earth
high_risk	enemy	fijands	enemy
high_risk	temptation/trial	fraistubni	temptation
high_risk	evil	ubils	evil
community	church/ecclesia	aikklesjo	church
community	feast/festival	dulþs	feast
community	Sabbath	sabbato	sabbath
community	Passover/Easter	paska	passover
community	Pentecost	paintekuste	pentecost
sin_salvation	misdeed/transgression	missadeds	transgression
sin_salvation	sin/fault/accusation	fairina	accusation
sin_salvation	dishonor	unswerei	dishonor
ritual_verb	offer/sacrifice	saljan	offer
ritual_verb	anoint	salbon	anoint
ritual_verb	worship/venerate	blotjan	worship
ritual_verb	bless/praise	þiuþjan	bless
ritual_verb	magnify/glorify	mikiljan	glorify
ritual_verb	praise	hazjan	praise
sacred_noun	covenant/truce	triggwa	covenant
sacred_noun	commandment	anabusns	commandment
sacred_noun	decree/ordinance	garaideins	decree
sacred_person	priest	gudja	priest
sacred_person	deacon/minister	diakaunus	deacon
sacred_person	bishop/overseer	aipiskaupus	bishop
sacred_person	servant (of God)	þiumagus	servant
sacred_person	servant/slave	skalks	slave
sacred_noun	coming/advent	qums	coming
high_risk	love	frijaþwa	love
high_risk	betrothed	gawadjom	betrothal
high_risk	heir/inheritance	arbi	inheritance
high_risk	year (liturgical)	aþn	year
high_risk	marry	liugan	marriage
ritual_noun	water	wato	water
ritual_verb	wash (ritual)	þwahan	wash
sacred_place	spring/well	brunna	well
