category	known	lost	subcategory
deity_name	['al']	il	supreme_deity
deity_name	['alh', 'alwh']	ilh	supreme_deity
deity_name	['alhym', 'alwhym']	ilhm	supreme_deity
deity_name	['alym']	ilm	supreme_deity
deity_name	['b<l']	b<l	storm_deity
deity_name	['b<lh', 'b<lw']	b<lh	storm_deity
deity_name	['b<lym']	b<lm	storm_deity
deity_name	['b<lh', 'b<lt', 'b<lwt']	b<lt	storm_deity
deity_name	['b<ly']	b<ly	storm_deity
deity_name	['lb<l']	lb<l	storm_deity
deity_name	['wb<l']	wb<l	storm_deity
deity_name	['<th']	<nt	war_goddess
deity_name	['l<th']	l<nt	war_goddess
deity_name	['w<th']	w<nt	war_goddess
deity_name	['dgn']	dgn	grain_deity
deity_name	['ldgn']	ldgn	grain_deity
deity_name	['wdgn']	wdgn	grain_deity
deity_name	['mlk']	mlk	king_deity
deity_name	['$m$']	$p$	sun_deity
deity_name	['l$m$']	l$p$	sun_deity
deity_name	['w$m$']	w$p$	sun_deity
deity_name	['yrH']	yrx	moon_deity
deity_name	['byrH']	byrx	moon_deity
deity_name	['lyrH']	lyrx	moon_deity
deity_name	['yrHym']	yrxm	moon_deity
deity_name	['mt']	mt	death_deity
deity_name	['ym', 'ywm']	ym	sea_deity
deity_name	['_']	ktr	craftsman_deity
deity_name	['r$p']	r$p	plague_deity
deity_name	['lr$p']	lr$p	plague_deity
deity_name	['r$pym']	r$pm	plague_deity
theophoric_name	['_']	ilr$p	il_compound
theophoric_name	['_']	ildgn	il_compound
theophoric_name	['_']	il<nt	il_compound
theophoric_name	['_']	ilb<l	il_compound
theophoric_name	['_']	il$lm	il_compound
theophoric_name	['_']	ilSdq	il_compound
theophoric_name	['_']	b<l$lm	b<l_compound
theophoric_name	['_']	b<lSdq	b<l_compound
theophoric_name	['_']	mtnb<l	b<l_compound
theophoric_name	['<bdmlk']	<bdmlk	<bd_compound
theophoric_name	['_']	<bdr$p	<bd_compound
theophoric_name	['_']	<bd<nt	<bd_compound
theophoric_name	['_']	<bdb<l	<bd_compound
theophoric_name	['_']	<bdilm	<bd_compound
theophoric_name	['_']	<bdrpu	<bd_compound
theophoric_name	['abymlk']	abmlk	mlk_compound
theophoric_name	['_']	mlkr$p	mlk_compound
theophoric_name	['_']	Sdqil	Sdq_compound
theophoric_name	['_']	Sdq$lm	Sdq_compound
ritual_verb	['zbH']	dbH	sacrifice
ritual_verb	['wzbH']	wdbH	sacrifice
ritual_verb	['yzbH']	ydbH	sacrifice
ritual_verb	['nzbH']	ndbH	sacrifice
ritual_verb	['tzbHnw']	tdbHn	sacrifice
ritual_verb	['zbHym']	dbHm	sacrifice
ritual_verb	['zbHnw']	dbHn	sacrifice
ritual_verb	['qrb']	qrb	approach
ritual_verb	['aqrb']	uqrb	approach
ritual_verb	['tqrb']	tqrb	approach
ritual_verb	['yqrb']	yqrb	approach
ritual_verb	['wyqrb']	wyqrb	approach
ritual_verb	['nsk']	nsk	libation
ritual_verb	['nskh', 'nskw']	nskh	libation
ritual_verb	['wynsk']	wynsk	libation
ritual_verb	['brk']	brk	bless
ritual_verb	['ybrk']	ybrk	bless
ritual_verb	['tbrk']	tbrk	bless
ritual_verb	['ybrknw']	ybrkn	bless
ritual_verb	['brkh', 'brkt', 'brkty']	brkt	bless
ritual_verb	['brkym']	brkm	bless
ritual_verb	['ndr']	ndr	vow
ritual_verb	['ndrh', 'ndrw']	ndrh	vow
ritual_verb	['b<r']	b<r	purify
ritual_verb	['yb<r']	yb<r	purify
ritual_verb	['<bd']	<bd	serve
ritual_verb	['y<bd']	y<bd	serve
ritual_verb	['<bdym']	<bdm	serve
ritual_verb	['<bdy']	<bdy	serve
ritual_verb	['$b<', '&b<']	$b<	oath
ritual_verb	['$b<h', '$b<t', '$b<wt']	$b<t	oath
ritual_verb	['kpr']	kpr	atone
ritual_verb	['bkpr']	bkpr	atone
ritual_verb	['Hrm$']	xrmvt	devote
ritual_verb	['yr$', 'ywr$']	yrv	inherit
ritual_noun	['mzbH']	mdbH	altar
ritual_noun	['mzbHh', 'mzbHt', 'mzbHwt']	mdbHt	altar
ritual_noun	['mnHh']	mnH	offering
